condition,episode,rso,uncertainty_km
correct,2,3,0.3733530044555664
correct,2,4,0.4405222237110138
correct,2,5,0.4507792592048645
correct,2,6,0.32084736227989197
correct,2,7,0.20532427728176117
correct,2,8,0.22526904940605164
correct,2,9,0.0735248327255249
correct,2,10,0.3147258758544922
correct,2,11,0.4313809275627136
correct,2,12,0.5268300175666809
correct,2,13,0.32175934314727783
correct,2,14,1.3995168209075928
correct,2,15,0.920625627040863
correct,2,16,0.13306143879890442
correct,2,17,0.6001911163330078
correct,2,18,2.4816994667053223
correct,2,19,0.11729253828525543
correct,2,20,0.7130506038665771
correct,2,21,0.11149880290031433
correct,2,22,0.6426621079444885
correct,2,23,0.6935446262359619
correct,2,24,0.6786778569221497
correct,2,25,0.5345690846443176
correct,2,26,0.21737779676914215
correct,2,27,0.22509334981441498
correct,2,28,0.781571626663208
correct,2,29,1.6535757780075073
correct,2,30,0.11296354234218597
correct,2,31,0.3083696961402893
correct,2,32,0.31393691897392273
correct,2,33,0.2974942922592163
correct,2,34,0.5909360647201538
correct,2,35,11.35018539428711
correct,2,36,1.0212446451187134
correct,2,37,1.4380682706832886
correct,2,38,0.14374947547912598
correct,2,39,0.34160059690475464
correct,2,40,0.4547474980354309
correct,2,41,0.39796775579452515
correct,2,42,0.3405292332172394
correct,2,43,0.29763102531433105
correct,2,44,0.9822361469268799
correct,2,45,0.3138805031776428
correct,2,46,0.2795335650444031
correct,2,47,0.8652046918869019
correct,2,48,0.19196435809135437
correct,2,49,0.14345534145832062
correct,2,50,1.033764123916626
correct,2,51,0.09056057035923004
correct,2,52,0.6168577671051025
correct,2,53,2.2783284187316895
correct,2,54,0.7608979940414429
correct,2,55,0.2889147102832794
correct,2,56,0.4769187271595001
correct,2,57,0.8816947937011719
correct,2,58,0.6452564001083374
correct,2,59,0.3237346410751343
correct,2,60,0.17499172687530518
correct,2,61,0.0956542044878006
correct,2,62,0.3125726878643036
correct,2,63,3.1602883338928223
correct,2,64,0.8070812225341797
correct,2,65,0.38953232765197754
correct,2,66,0.27512821555137634
correct,2,67,0.28992360830307007
correct,2,68,0.42461803555488586
correct,2,69,0.832618236541748
