condition,episode,rso,mean_altitude_km,max_abs_latitude_deg,estimated_inclination_deg,estimated_raan_deg,dominant_sensor,dominant_sensor_fraction,num_visiting_sensors,total_observations
correct,0,23,715.3331198770492,46.09745788574219,133.89726505310094,174.53230113292858,0,0.7142857142857143,3,14
correct,0,24,680.4814853355533,9.929094314575195,170.0709037470945,334.697737942457,0,0.6842105263157895,3,19
correct,0,25,747.2664254610655,69.35545349121094,109.63558229663563,176.64880024588072,1,0.7538461538461538,4,65
correct,0,26,671.2321737320697,34.285179138183594,145.71173477877855,187.1190531975469,2,0.8409090909090909,3,44
correct,0,27,770.163270043545,5.680845737457275,174.28368293321043,40.61413712387976,2,0.7142857142857143,3,28
correct,0,28,728.0647012679303,4.745576858520508,4.748048882392552,226.14445313089567,2,0.7586206896551724,2,29
correct,0,29,698.5281041880123,15.000672340393066,15.000730273612803,1.3128095320360291,1,0.7142857142857143,2,14
correct,0,30,655.4391009221312,68.97303009033203,111.02696515913607,181.10283468733235,1,0.7666666666666667,3,90
correct,0,31,691.3541639984632,69.52838134765625,69.56541654021063,358.1068726667529,1,0.5789473684210527,3,57
correct,0,32,690.3816438268443,83.79934692382812,96.1869455862482,4.517953028910741,0,0.7692307692307693,3,52
correct,0,33,644.2333263960041,55.31905746459961,124.65652648785992,3.5275488689040917,2,1.0,1,26
correct,0,34,683.5107341828893,11.674615859985352,168.32529873208847,34.96884106628741,2,0.6363636363636364,2,11
correct,0,35,720.985071401127,33.914249420166016,33.918218587355504,354.66016851459284,2,0.7368421052631579,2,19
correct,0,36,679.5845767161885,9.966798782348633,9.967721307169786,352.7376044695117,0,0.84,2,25
correct,0,37,758.0381659836065,60.98385238647461,61.078980363809876,3.1505079662514723,1,0.49056603773584906,3,53
correct,0,38,633.150110463627,74.8689956665039,105.12835954232636,3.104946073960989,0,0.7323943661971831,3,71
correct,0,39,777.9182329021517,38.60239791870117,141.3821026859684,178.30560980070138,0,0.803921568627451,2,51
correct,0,40,736.7603819800205,34.44934844970703,34.44988990109332,187.03051060082527,3,0.5384615384615384,2,13
correct,0,41,771.0425845286885,20.84067726135254,20.879372602534666,185.7825960877414,3,0.75,3,20
correct,0,42,688.4543176869877,37.77145767211914,142.22776022844047,170.7430219760756,2,0.7,4,30
correct,0,43,678.3405561603483,88.22623443603516,88.3383060962306,175.56029988715633,3,0.6153846153846154,2,13
correct,0,44,653.3391393442623,7.01397180557251,172.98597466446276,171.79297406276132,2,0.5952380952380952,2,42
correct,0,45,699.2044377561475,75.99568939208984,76.02638550922202,359.9576358791801,3,0.8518518518518519,3,27
correct,0,46,674.4917552510246,15.318522453308105,15.318873302001794,3.963730527891592,2,0.8867924528301887,2,53
correct,0,47,724.433361616291,79.31855010986328,100.56280088278761,177.55645053153432,3,0.42857142857142855,4,28
