scenario,head,normalized_rank,attention_mean,ci95,n_samples
id_2000_k60,3,0.4067796610169492,1.0002252468587578,0.0004832239283965241,3552
id_2000_k60,3,0.423728813559322,0.9998019559829084,0.00048232649552158784,3552
id_2000_k60,3,0.4406779661016949,1.000347135940919,0.00047607029526739944,3552
id_2000_k60,3,0.4576271186440678,1.0002971085476446,0.00047772642710755894,3552
id_2000_k60,3,0.4745762711864407,1.0001935992255673,0.0004814028637109685,3552
id_2000_k60,3,0.4915254237288136,1.0002506090042826,0.0004788509486496855,3552
id_2000_k60,3,0.5084745762711864,1.0005265778887111,0.0004904189055798989,3552
id_2000_k60,3,0.5254237288135594,1.0002774245500028,0.00047923600249461537,3552
id_2000_k60,3,0.5423728813559322,1.0005876363364157,0.00048182991430633894,3552
id_2000_k60,3,0.559322033898305,1.000672895864055,0.0004948357771041814,3552
id_2000_k60,3,0.576271186440678,1.0005770816996291,0.0004939536000993389,3552
id_2000_k60,3,0.5932203389830508,1.0007085408512,0.0004928141236990697,3552
id_2000_k60,3,0.6101694915254238,1.0006707204287653,0.00048658654864734745,3552
id_2000_k60,3,0.6271186440677966,1.000700543508739,0.0004938676075283695,3552
id_2000_k60,3,0.6440677966101694,1.001276439961952,0.0004955586522560161,3552
id_2000_k60,3,0.6610169491525424,1.000511254209119,0.0004892505886311716,3552
id_2000_k60,3,0.6779661016949152,1.0011142169939236,0.0004983153774927719,3552
id_2000_k60,3,0.6949152542372882,1.0009529512241349,0.0004906835244344377,3552
id_2000_k60,3,0.711864406779661,1.000744062047955,0.0004971849783197544,3552
id_2000_k60,3,0.7288135593220338,1.0009926532705624,0.0004934568863101707,3552
id_2000_k60,3,0.7457627118644068,1.000975408532598,0.0004917433770872553,3552
id_2000_k60,3,0.7627118644067796,1.0012642842558053,0.0004970555010881693,3552
id_2000_k60,3,0.7796610169491526,1.0010782315118893,0.0004954199811207713,3552
id_2000_k60,3,0.7966101694915254,1.0007955607966528,0.0005044007867993599,3552
id_2000_k60,3,0.8135593220338984,1.0009521749038417,0.0005037489175028896,3552
id_2000_k60,3,0.8305084745762712,1.0009486731477417,0.0005070719197381266,3552
id_2000_k60,3,0.847457627118644,1.0010568577259242,0.000505783848933334,3552
id_2000_k60,3,0.864406779661017,1.0010244938805029,0.000505219119239611,3552
id_2000_k60,3,0.8813559322033898,1.0007437519594893,0.0005002299521741604,3552
id_2000_k60,3,0.8983050847457628,1.000563498922028,0.0005023433359623286,3552
id_2000_k60,3,0.9152542372881356,1.0004641413856465,0.0005078011500249772,3552
id_2000_k60,3,0.9322033898305084,1.0008113342798777,0.00051517410628431,3552
id_2000_k60,3,0.9491525423728814,1.0000669292367257,0.0005119865631478953,3552
id_2000_k60,3,0.9661016949152542,0.999955045193568,0.0005154352678862818,3552
id_2000_k60,3,0.9830508474576272,0.9999292636172729,0.000529155381688766,3552
id_2000_k60,3,1.0,0.9999346508736815,0.0005330108308069995,3552
id_2000_k60,4,0.0,1.0059386103472732,0.00035527047339962997,3552
id_2000_k60,4,0.01694915254237288,1.0053895187673267,0.00033744074302143127,3552
id_2000_k60,4,0.03389830508474576,1.0043204706162214,0.00033649741328107153,3552
id_2000_k60,4,0.05084745762711865,1.0039776246491317,0.00033231525189936315,3552
id_2000_k60,4,0.06779661016949153,1.003553306029455,0.00032369148949000607,3552
id_2000_k60,4,0.0847457627118644,1.0031231927207194,0.0003258464627644928,3552
id_2000_k60,4,0.1016949152542373,1.002720971029621,0.00032422702451753813,3552
